LANE: -100400941#0_0    PARKING: parkingArea_-100400941#0_0_1085
LANE: -100400941#1_0    PARKING: parkingArea_-100400941#1_0_1083
LANE: -100400942#0_0    PARKING: parkingArea_-100400942#0_0_637
LANE: -100400942#1_0    PARKING: parkingArea_-100400942#1_0_635
LANE: -100400946_0    PARKING: parkingArea_-100400946_0_293
LANE: -100400946_0    PARKING: parkingArea_-100400946_0_993
LANE: -111089307#0_0    PARKING: parkingArea_-111089307#0_0_936
LANE: -111089307#1_0    PARKING: parkingArea_-111089307#1_0_946
LANE: -111089307#2_0    PARKING: parkingArea_-111089307#2_0_948
LANE: -111089307#3_0    PARKING: parkingArea_-111089307#3_0_958
LANE: -111089307#4_0    PARKING: parkingArea_-111089307#4_0_200
LANE: -111089307#4_0    PARKING: parkingArea_-111089307#4_0_961
LANE: -111547662#2_0    PARKING: parkingArea_-111547662#2_0_728
LANE: -111550910#1_0    PARKING: parkingArea_-111550910#1_0_480
LANE: -111550910#2_0    PARKING: parkingArea_-111550910#2_0_478
LANE: -111550911#1_0    PARKING: parkingArea_-111550911#1_0_521
LANE: -111550911#2_0    PARKING: parkingArea_-111550911#2_0_98
LANE: -111560681#2_0    PARKING: parkingArea_-111560681#2_0_153
LANE: -111560681#2_0    PARKING: parkingArea_-111560681#2_0_745
LANE: -111560682_0    PARKING: parkingArea_-111560682_0_418
LANE: -111586254#3_0    PARKING: parkingArea_-111586254#3_0_269
LANE: -111586254#3_0    PARKING: parkingArea_-111586254#3_0_584
LANE: -120256349_0    PARKING: parkingArea_-120256349_0_417
LANE: -122498865_0    PARKING: parkingArea_-122498865_0_730
LANE: -133376113#2_0    PARKING: parkingArea_-133376113#2_0_969
LANE: -133376114#1_0    PARKING: parkingArea_-133376114#1_0_973
LANE: -133376114#2_0    PARKING: parkingArea_-133376114#2_0_977
LANE: -133376120#0_0    PARKING: parkingArea_-133376120#0_0_1031
LANE: -133376120#12_0    PARKING: parkingArea_-133376120#12_0_1302
LANE: -133376120#13_0    PARKING: parkingArea_-133376120#13_0_1300
LANE: -133376120#1_0    PARKING: parkingArea_-133376120#1_0_1029
LANE: -133376120#4_0    PARKING: parkingArea_-133376120#4_0_1318
LANE: -133376120#4_0    PARKING: parkingArea_-133376120#4_0_1322
LANE: -133376120#9_0    PARKING: parkingArea_-133376120#9_0_1312
LANE: -133733582#3_0    PARKING: parkingArea_-133733582#3_0_684
LANE: -133755923#0_0    PARKING: parkingArea_-133755923#0_0_161
LANE: -133755923#0_0    PARKING: parkingArea_-133755923#0_0_812
LANE: -133755923#1_0    PARKING: parkingArea_-133755923#1_0_810
LANE: -133781759#1_0    PARKING: parkingArea_-133781759#1_0_346
LANE: -133781759#1_0    PARKING: parkingArea_-133781759#1_0_681
LANE: -43100086_0    PARKING: parkingArea_-135110258#0_0_409
LANE: -141688972#1_0    PARKING: parkingArea_-141688972#1_0_145
LANE: -141688972#1_0    PARKING: parkingArea_-141688972#1_0_798
LANE: -141688972#2_0    PARKING: parkingArea_-141688972#2_0_130
LANE: -143617587_0    PARKING: parkingArea_-143617587_0_133
LANE: -143617587_0    PARKING: parkingArea_-143617587_0_714
LANE: -143617589#2_0    PARKING: parkingArea_-143617589#2_0_526
LANE: -143617593_0    PARKING: parkingArea_-143617593_0_703
LANE: -143617593_0    PARKING: parkingArea_-143617593_0_705
LANE: -143666208#0_0    PARKING: parkingArea_-143666208#0_0_258
LANE: -143666209#1_0    PARKING: parkingArea_-143666209#1_0_241
LANE: -143666209#2_0    PARKING: parkingArea_-143666209#2_0_12
LANE: -143666209#2_0    PARKING: parkingArea_-143666209#2_0_225
LANE: -143666209#3_0    PARKING: parkingArea_-143666209#3_0_227
LANE: -143666209#5_0    PARKING: parkingArea_-143666209#5_0_182
LANE: -143666209#6_0    PARKING: parkingArea_-143666209#6_0_163
LANE: -144346316#2_0    PARKING: parkingArea_-144346316#2_0_1163
LANE: -144346316#4_0    PARKING: parkingArea_-144346316#4_0_1165
LANE: -144346316#4_0    PARKING: parkingArea_-144346316#4_0_339
LANE: -144346316#5_0    PARKING: parkingArea_-144346316#5_0_340
LANE: -144346316#5_0    PARKING: parkingArea_-144346316#5_0_665
LANE: -48211062#0_0    PARKING: parkingArea_-146155885_0_155
LANE: -148846997#1_0    PARKING: parkingArea_-148846997#1_0_1329
LANE: -148846997#1_0    PARKING: parkingArea_-148846997#1_0_283
LANE: -148846997#4_0    PARKING: parkingArea_-148846997#4_0_1311
