CO,CO2,HC,FUEL
16124.171646,1174555.662457,101.014427,374627.646531
11993.168705,955033.570039,76.026558,304612.330652
18814.325299,1184489.365052,112.631927,377799.103448
23827.736335,2474399.227321,163.960376,789216.367369
69905.719879,3299327.527875,400.875276,1052338.366872
40902.799241,2565010.36429,246.328936,818123.407456
41534.972969,2655493.584657,250.787645,846983.223918
66896.195181,2170464.107979,356.082064,692294.133035
56262.734596,3020262.881425,329.448906,963330.673894
49987.421836,2358536.229042,282.738733,752271.712158
44986.154908,1853451.942655,246.907576,591178.061417
62499.751935,2179216.898572,334.469481,695085.676024
60201.208334,2302314.790865,328.052613,734346.218524
78863.060934,2102917.936794,407.188545,670757.297621
42587.686541,1955061.342535,238.833219,623585.772423
54619.923557,1952252.620084,293.561404,622694.554599
88410.64088,3695859.396864,493.806269,1178821.027701
53282.065965,2212135.747541,293.829361,705582.238687
58814.005549,2159750.465258,317.555313,688877.916299
77956.853898,2833965.835339,421.313769,903921.420236
56342.890147,1950270.379466,301.250004,622064.563126
91722.249264,3778125.875539,510.332383,1205062.442589
80655.726743,2482304.789823,424.214658,791764.242929
70462.387949,2792177.937818,386.004901,890591.792588
70231.718693,2674302.818186,381.426952,852996.42933
63417.238536,2279286.642475,340.667926,727006.614511
85689.501475,2361765.975849,444.762307,753321.80777
67331.624336,2312300.632381,359.709018,737538.806184
62273.542016,2239321.483016,334.892586,714260.163116
97092.071363,2486069.400771,499.78656,792972.63431
77581.797396,2823476.722026,418.806403,900578.545389
72014.858737,2201908.022141,378.359508,702331.48832
76113.203469,2444754.168506,402.941696,779787.457656
76370.833036,2524046.709252,405.609274,805077.963552
87734.292888,3709428.196908,488.852051,1183153.412481
71646.248947,2502788.491964,383.937439,798295.632597
94051.685269,2975213.221126,496.078286,948981.46153
77972.152871,2687173.672076,417.106679,857107.672625
94047.197386,2571046.926562,487.564028,820076.16059
82600.680314,2713519.992351,438.601744,865513.619441
99912.192337,2885710.812341,521.647877,920440.127176
119572.742093,3233916.768909,618.684861,1031505.403394
99941.075309,3071707.989545,525.239014,979763.397516
89095.305404,3138592.879047,478.287844,1001091.371649
107999.190126,3553759.319225,573.736071,1133514.756323
123703.478199,3433155.079695,642.683354,1095056.600523
108231.748686,3104555.943252,564.295625,990246.312865
103978.695111,3090319.882711,544.491399,985704.677442
116968.387949,3416281.425164,611.598781,1089673.437017
159178.236148,4515340.91545,829.294621,1440236.148136
