vecID,parkingID,started,ended,duration
0,parkingArea_254759933#2_0_1198,291.0,311.0,20.0
1,parkingArea_8922291#0_0_762,127.0,147.0,20.0
2,parkingArea_8919338_0_468,468.0,488.0,20.0
3,parkingArea_-27397692_0_397,514.0,534.0,20.0
4,parkingArea_27397937_0_384,578.0,598.0,20.0
5,parkingArea_283537380#1_0_469,497.0,517.0,20.0
6,parkingArea_-35675861#0_0_462,612.0,632.0,20.0
7,parkingArea_-24310636#0_0_933,459.0,479.0,20.0
8,parkingArea_359898521#0_0_374,660.0,680.0,20.0
9,parkingArea_143617589#2_0_527,466.0,486.0,20.0
10,parkingArea_91181771#6_0_542,402.0,422.0,20.0
11,parkingArea_99231482_0_58,481.0,501.0,20.0
13,parkingArea_91181771#5_0_513,372.0,392.0,20.0
14,parkingArea_8915752_0_467,453.0,473.0,20.0
15,parkingArea_254299142#3_0_508,421.0,441.0,20.0
16,parkingArea_-225518512#1_0_517,277.0,297.0,20.0
17,parkingArea_225518512#0_0_107,485.0,505.0,20.0
18,parkingArea_88463829#0_0_44,693.0,713.0,20.0
19,parkingArea_47172745_0_65,729.0,749.0,20.0
20,parkingArea_91181771#15_0_723,484.0,504.0,20.0
22,parkingArea_8916922#3_0_423,457.0,477.0,20.0
23,parkingArea_8919338_0_468,559.0,579.0,20.0
24,parkingArea_-p4#0_0_102,508.0,528.0,20.0
25,parkingArea_35675861#0_0_89,455.0,475.0,20.0
26,parkingArea_120256351_0_49,836.0,856.0,20.0
27,parkingArea_135110258#0_0_410,339.0,359.0,20.0
28,parkingArea_8919616#1_0_491,324.0,344.0,20.0
29,parkingArea_224373753_0_53,430.0,450.0,20.0
30,parkingArea_206662304#13_0_660,157.0,177.0,20.0
31,parkingArea_111089307#4_0_960,483.0,503.0,20.0
32,parkingArea_8916375#1_0_365,781.0,801.0,20.0
33,parkingArea_224316522#0_0_572,369.0,389.0,20.0
34,parkingArea_133733593#1_0_571,468.0,488.0,20.0
35,parkingArea_-28843496_0_300,626.0,646.0,20.0
36,parkingArea_-255330036#11_0_91,387.0,407.0,20.0
37,parkingArea_225518502#0_0_84,550.0,570.0,20.0
38,parkingArea_224199018#2_0_320,695.0,715.0,20.0
39,parkingArea_-225518512#1_0_517,416.0,436.0,20.0
40,parkingArea_30832504_0_1024,409.0,429.0,20.0
41,parkingArea_88597553#2_0_369,457.0,477.0,20.0
42,parkingArea_-99231475_0_428,463.0,483.0,20.0
43,parkingArea_26988030#3_0_1200,640.0,660.0,20.0
44,parkingArea_-254971068_0_334,595.0,615.0,20.0
45,parkingArea_-43100739_0_743,126.0,146.0,20.0
46,parkingArea_206662304#13_0_660,992.0,1012.0,20.0
47,parkingArea_47172745_0_65,290.0,310.0,20.0
48,parkingArea_225518512#0_0_107,575.0,595.0,20.0
49,parkingArea_31129732#0_0_532,463.0,483.0,20.0
