vecID,depart,arrival
0,0.00,795.00
1,0.00,352.00
2,0.00,848.00
3,0.00,959.00
4,3.00,1124.00
5,0.00,1025.00
6,0.00,1346.00
7,0.00,985.00
8,3.00,1295.00
9,0.00,965.00
10,0.00,907.00
11,3.00,1166.00
12,0.00,1063.00
13,3.00,837.00
14,0.00,1108.00
15,0.00,755.00
16,6.00,689.00
17,3.00,1063.00
18,0.00,1357.00
19,0.00,1184.00
20,0.00,762.00
21,0.00,707.00
22,0.00,1025.00
23,0.00,1038.00
24,3.00,949.00
25,3.00,906.00
26,3.00,1355.00
27,0.00,793.00
28,9.00,648.00
29,0.00,983.00
30,0.00,342.00
31,6.00,724.00
32,3.00,1413.00
33,0.00,781.00
34,0.00,1005.00
35,0.00,1211.00
36,9.00,702.00
37,3.00,1094.00
38,6.00,1205.00
39,6.00,758.00
40,0.00,878.00
41,3.00,974.00
42,9.00,891.00
43,12.00,956.00
44,0.00,1010.00
45,12.00,298.00
46,0.00,1848.00
47,12.00,688.00
48,0.00,1113.00
49,15.00,616.00
