CO,CO2,HC,FUEL
12325.518505,961054.931674,77.630651,306532.753874
18473.453438,1157133.061284,110.382572,369073.390142
23316.669505,1290714.524229,136.523109,411679.034282
19835.466918,993441.222749,112.769032,316867.722007
32068.734218,1006730.872534,169.313198,321110.213494
59792.874965,3078264.065289,349.607715,981826.886663
30906.153709,1137749.936721,167.017472,362898.297927
45825.335864,1497725.774265,243.153536,477719.868678
22913.044486,2464797.404771,159.232817,786154.020202
32255.474373,1265398.400399,176.00445,403612.983447
40973.706153,2624886.200593,245.759323,837221.498509
66344.620276,2150183.584592,353.036811,685825.585283
56913.444283,3021493.195699,332.838251,963723.237751
49535.127043,2310275.917275,279.205304,736879.378366
45046.357316,1850898.690299,247.597788,590363.723189
60651.428343,2337362.130587,331.156799,745524.893758
63443.381665,2194704.380009,339.020487,700025.708459
38020.506488,2643788.212512,234.182825,843249.241767
79093.630675,2111043.859605,408.320948,673349.174939
42312.72784,1794511.632043,234.248279,572376.218104
61828.468214,3148698.605624,358.502944,1004296.471679
43702.222501,1979102.105098,244.494508,631253.667731
88428.708239,3710685.76876,494.335599,1183550.137653
57810.578174,1852077.719278,306.036242,590744.991032
54893.402203,2204034.612784,300.578715,702998.26228
55318.161785,2224738.208383,302.898633,709603.34552
80787.26211,3473716.684247,453.757945,1107965.073111
66799.394777,2254092.136589,356.000223,718969.94689
58841.93595,2154371.538671,317.727274,687161.56515
64939.616916,2736913.56258,359.404429,872963.254044
65565.780677,2207143.39986,349.139025,703996.984918
78300.370585,2835156.966141,423.186365,904300.994313
61972.993417,3064287.756872,355.901459,977374.807002
58473.215135,2093830.933243,314.390293,667853.627326
57190.437693,1971916.202798,305.631211,628968.721976
91722.808901,3802309.814424,510.899567,1212775.974801
58145.52473,2112103.006109,313.631461,673677.571502
70684.997027,2818568.135336,387.8836,899008.67074
64490.238864,2010040.377593,340.02535,641130.567032
70766.973051,2682185.094743,384.416274,855510.178812
56797.110616,2059278.870452,306.147793,656831.558487
63223.584563,2272265.052595,339.541102,724766.937665
60894.619098,3247033.662709,352.412896,1035663.981212
71502.364168,2213974.854656,376.94175,706176.053145
84774.002624,2335036.875301,440.056977,744795.982181
61061.499382,2108040.684385,326.80807,672385.495426
52103.915077,2273216.083467,289.624954,725064.516934
81426.62241,2148439.549954,420.323292,685280.214069
72807.254019,2617071.35408,392.458962,834742.219142
68897.940634,2449564.772014,370.291413,781315.27117
97772.828901,2499212.266823,503.22644,797164.676733
84615.061706,2765088.148311,449.934941,881956.329568
77487.463852,2494196.85039,410.439952,795557.631242
73353.379386,2224906.825631,385.070392,709667.073091
72960.795174,2991699.277932,401.215415,954228.353866
76468.676237,3447895.639126,430.99344,1099732.426103
62780.45134,2438766.818792,342.202528,777871.289482
85872.883491,2614310.928147,451.603012,833869.907947
75362.576526,2493262.303644,400.518125,795258.887782
85859.19768,2288744.32731,443.933232,730031.307174
89008.928768,3291127.642041,483.898561,1049737.384849
70350.75804,2471763.750335,377.114977,788400.392809
75478.167639,2503960.077507,401.143645,798672.240463
82039.125231,2903882.274671,441.012574,926225.094955
77798.43094,2684037.91472,416.155074,856108.047501
98459.917979,3854746.295907,541.356514,1229505.293542
79733.742578,2920523.042798,430.74297,931532.996074
76280.476171,2502333.54625,405.002213,798152.504906
63719.468834,3374494.8932,367.463011,1076320.136941
81813.875143,2373976.916437,427.156144,757216.219507
87798.951465,3093089.535911,471.88557,986574.600303
120110.699658,3221867.861886,620.787007,1027662.528736
98315.045232,3268443.900565,521.915156,1042508.895576
82234.175565,2750057.154946,437.988519,877166.050132
99997.742066,2687914.529141,517.371918,857353.640641
80393.245779,3531088.388428,448.123466,1126273.294398
93912.843334,3201567.449657,501.881201,1021178.430072
104147.489823,3100562.49879,545.323951,988968.043696
112314.888139,4077570.272587,609.807384,1300580.539461
103567.876369,2983169.961661,540.337936,951527.697067
93324.671687,2881553.807201,491.522623,919111.751496
85523.662781,3979863.840165,485.282843,1269408.435984
107771.895125,3551006.099497,572.759034,1132637.21906
109591.627807,3272106.809312,573.69242,1043683.61951
86912.554582,2905493.671904,462.775276,926744.954286
111525.91871,4554131.091151,617.62311,1452580.00645
118184.630127,4447562.415454,644.435447,1418593.571619
104195.918798,3125359.540742,546.268275,996880.741622
91363.974691,2941238.498729,483.748264,938147.160052
110588.224296,3389554.377815,581.735903,1081147.349663
124072.129224,3730400.171623,652.852805,1189858.527867
131582.573972,3329062.788239,676.33543,1061858.712533
113964.643243,3315103.335414,595.49767,1057401.956048
140567.661842,3853880.069373,729.367048,1229254.114315
123585.482462,4769982.828157,675.974941,1521433.301941
124713.583615,3741548.305713,653.61266,1193417.863101
136434.654283,3702499.431534,707.041729,1180970.04889
136192.224779,4085372.191156,713.567182,1303085.88689
146247.731682,3925231.517097,756.372484,1252015.195783
149060.646666,4344491.335105,779.039592,1385740.81724
