vecID,depart,arrival
0,18000.00,18795.00
1,18000.00,18354.00
2,18000.00,19208.00
3,18000.00,18958.00
4,18003.00,19298.00
5,18000.00,19022.00
6,18000.00,19255.00
7,18000.00,19075.00
8,18003.00,19267.00
9,18000.00,18876.00
10,18000.00,18640.00
11,18003.00,19076.00
12,18000.00,18884.00
13,18003.00,18747.00
14,18000.00,19197.00
15,18000.00,18755.00
16,18006.00,18688.00
17,18003.00,19064.00
18,18000.00,19357.00
19,18000.00,19183.00
20,18000.00,18926.00
21,18000.00,18622.00
22,18000.00,19205.00
23,18000.00,18955.00
24,18003.00,18952.00
25,18003.00,19227.00
26,18003.00,19355.00
27,18000.00,18794.00
28,18009.00,18690.00
29,18000.00,18894.00
30,18000.00,18332.00
31,18006.00,18711.00
32,18003.00,19404.00
33,18000.00,18781.00
34,18000.00,19004.00
35,18000.00,19211.00
36,18009.00,18703.00
37,18003.00,19087.00
38,18006.00,19218.00
39,18006.00,18758.00
40,18000.00,18826.00
41,18003.00,18974.00
42,18009.00,18891.00
43,18012.00,18955.00
44,18060.00,19101.00
45,18060.00,18368.00
46,18060.00,19849.00
47,18060.00,18778.00
48,18060.00,19203.00
49,18063.00,18647.00
